********************************************************************************
product = WebSphere Application Server 18.0.0.1 (wlp-1.0.20.cl180120180309-2209)
wlp.install.dir = C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7/target/liberty/wlp/
server.config.dir = C:/Users/joach/Desktop/New folder/sample.daytrader7-master/daytrader-ee7-wlpcfg/servers/daytrader7Sample/
java.home = C:\Program Files\Java\jdk1.8.0_151\jre
java.version = 1.8.0_151
java.runtime = Java(TM) SE Runtime Environment (1.8.0_151-b12)
os = Windows 10 (10.0; amd64) (en_US)
process = 12152@Asus-GL553
********************************************************************************
[6/06/18 19:44:25:617 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.DEFAULT_RESPONSE_WRITER_CONTENT_TYPE_MODE' found, using default value 'text/html'.
[6/06/18 19:44:25:617 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.VIEW_UNIQUE_IDS_CACHE_ENABLED' found, using default value 'true'.
[6/06/18 19:44:25:617 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.COMPONENT_UNIQUE_IDS_CACHE_SIZE' found, using default value '100'.
[6/06/18 19:44:25:618 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.SUPPORT_JSP_AND_FACES_EL' found, using default value 'true'.
[6/06/18 19:44:25:618 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.GAE_JSF_JAR_FILES' found.
[6/06/18 19:44:25:618 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.GAE_JSF_ANNOTATIONS_JAR_FILES' found.
[6/06/18 19:44:25:618 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.STRICT_JSF_2_VIEW_NOT_FOUND' found, using default value 'false'.
[6/06/18 19:44:25:618 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.EARLY_FLUSH_ENABLED' found, using default value 'false'.
[6/06/18 19:44:25:618 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CDI_MANAGED_CONVERTERS_ENABLED' found, using default value 'false'.
[6/06/18 19:44:25:618 CEST] 00000044 org.apache.myfaces.webapp.WebConfigParamsLogger              I No context init parameter 'org.apache.myfaces.CDI_MANAGED_VALIDATORS_ENABLED' found, using default value 'false'.
